,PC1,PC2,CLUSTERS
21273,-20.761472410387725,1.8121109633307004,A
23211,58.29856675236936,1.7625669568018398,C
24604,-20.727678501891898,0.04890505248561936,E
23942,-20.785732348432738,2.7194305753303154,A
89524,25.386512151620973,-0.3918368682810545,D
39210,-19.737681671573842,0.6651171461633985,E
12725,-20.772736387049147,2.5318431758182616,A
1195,-11.7653052082375,1.910502594648914,E
26017,-20.79480426052624,3.249503630010231,A
75198,-8.652375828937618,-1.0738946856921165,B
13137,-20.780172329818775,3.1753236934319675,A
81906,43.36452709341489,3.846219327426425e-06,C
92039,10.372965945179635,-0.9602502741376704,D
2279,-19.73446983605187,0.25609633262016546,E
11550,-2.6991647627824618,0.330600948555755,B
80631,20.444221306726913,-1.618059395022472,D
18417,-19.725208917038348,0.9007365749522293,E
29268,-20.72941064985336,0.2518801040673723,E
78836,2.3332670971202645,-0.21102156180556564,B
60172,5.38620878823342,-2.0413235891882153,B
9110,-20.700779656711756,-0.3928551790148661,E
65445,-8.629648778174856,-1.6468825915974756,B
32239,-20.751774081371043,1.70585767049804,A
78800,0.3699834053311347,-0.9726174822325426,B
13547,-20.70441567034763,-0.27811347449160545,E
10278,-20.691372158492182,-0.8470913327097969,E
98240,-6.644351784897408,-0.9681000249299956,B
70854,58.367713204612905,0.45126978040641746,C
37236,-19.781312154697076,2.903679204445419,A
52960,3.39551043973614,-1.839213918864039,B
66511,31.35429913794747,0.07106442288247165,D
78338,-0.6303394807108119,-2.225842643178062,B
22974,-19.778571980355704,2.918892250188695,A
27712,-20.712913223054787,-0.14756283246114277,E
75222,36.456635698662204,-0.8817254057711761,C
94218,28.4630013884675,-1.2540326819998564,D
66507,-6.629259995455318,-1.2594362514986035,B
14480,-20.715381509909466,-0.17940995007439148,E
15596,-20.703993034769354,-0.16498047148946118,E
34637,-19.713275565112212,0.09920875570893141,E
34497,-20.703292258749237,-0.8362312409065767,E
72200,-6.6317917580122865,-1.586056437852668,B
56774,-6.646080962834769,-0.7388963630337311,B
34159,-19.783547963956526,2.704657145492831,A
30309,-20.738945645626494,0.8313386281411783,A
16697,-19.783211794579415,3.4095704518837047,A
73429,11.369874594921775,-0.6658093537732221,D
65986,25.37368400435976,-0.2207308733875179,D
34129,-20.77082520309762,2.3607500419957486,A
82456,17.39245222496903,-0.46665810193328633,D
85486,22.35950398964873,-0.01785106485817715,D
8744,-1.6530944307797368,-0.896110107779862,B
57161,-1.633667264374359,-1.0213842645065898,B
89848,-12.617896999295965,-1.6395752695090149,E
4448,-17.72479576678691,0.16339723418369395,E
88700,1.3936708844471366,-2.0577711687421094,B
60785,5.377231574185514,-0.9560346237808801,B
